Мемлекет басшысы Өзбекстан Президенті Шавкат Мирзиёевпен телефон арқылы сөйлесті	Telephone conversation with President of Uzbekistan Shavkat Mirziyoyev
Елбасы Қазақстан-Британия сауда-экономикалық ынтымақтастық жөніндегі үкіметаралық комиссиясының ІІ отырысының ашылуына қатысты	Participation in the opening of the second session of the Kazakh-British Intergovernmental Commission on Trade and Economic Cooperation
Мемлекет басшысы Ұлыбритания Премьер-Министрі Дэвид Кэмеронмен кездесті	Meeting with Prime Minister of the United Kingdom David Cameron
Елбасының Ұлыбритания және Солтүстік Ирландия Біріккен Корольдігіне ресми сапары	Official visit to the United Kingdom of Great Britain and Northern Ireland
Елбасы Америка Құрама Штаттарының Мемлекеттік хатшысы Джон Керримен кездесті	Meeting with the US Secretary of State John Kerry
«Д.Т. Ақышевты Қазақстан Республикасы Ұлттық Банкінің Төрағасы қызметіне тағайындау туралы» Жарлық	Decree “On the appointment of Daniyar Akishev as a Chairman of the National Bank of the Republic of Kazakhstan”
Мемлекет басшысының Қазақстан Республикасы Парламенті Сенатына үндеуі	Address by President Nursultan Nazarbayev to the Senate of Parliament of the Republic of Kazakhstan
Елбасы Ресей Федерациясының Президенті Владимир Путинге Ресейдің «Когалымавиа» компаниясының «Airbus A321» ұшағы апатқа ұшырауына байланысты көңіл айту жеделхатын жолдады	Telegram of condolences to President of the Russian Federation Vladimir Putin following the Russian Airbus A321 plane crash in Egypt
Қазақстан Республикасының Азаматтық процестік кодексіне қол қою рәсімі өтті	Public signing of the new Civil Procedure Code of the Republic of Kazakhstan
Мемлекет басшысы елшілерден сенім грамоталарын қабылдады	President of Kazakhstan Nursultan Nazarbayev receives credentials from the newly appointed Ambassadors to the Republic of Kazakhstan
Елбасы Жапония Премьер-министрі Синдзо Абэмен бірге Назарбаев Университетіне барды	President of Kazakhstan Nursultan Nazarbayev and Prime Minister of Japan Shinzo Abe visit Nazarbayev University
Нұрсұлтан Назарбаев «Astana Group» компаниялар тобының президенті Нұрлан Смағұловты қабылдады	Meeting with Nurlan Smagulov, Astana Group President
Мемлекет басшысы Пәкістан Ислам Республикасының Премьер-министрі Миан Мохаммад Наваз Шарифке адам шығынына ұшыратқан күшті зілзалаға байланысты көңіл айту жеделхатын жолдады	Telegram of condolences to Prime Minister of the Islamic Republic of Pakistan Mian Mohammad Nawaz Sharif on the occasion of the massive earthquake that caused multiple deaths
Елбасы Ауғанстан Ислам Республикасының Президенті Мохаммад Ашраф Ғаниға адам шығынына ұшыратқан күшті зілзалаға байланысты көңіл айту жеделхатын жолдады	Telegram of condolences to President of the Islamic Republic of Afghanistan Mohammad Ashraf Ghani on the occasion of massive earthquake that caused multiple deaths
Мемлекет басшысы Жапония Премьер-министрі Синдзо Абэмен бірге қазақ-жапон бизнес форумына қатысты	President Nursultan Nazarbayev and Prime Minister of Japan Shinzo Abe take part in the Kazakh-Japanese business forum
Елбасы Жапония Премьер-министрі Синдзо Абэмен бірге Астананың көрнекті орындарын аралады	President of Kazakhstan Nursultan Nazarbayev and Prime Minister of Japan Shinzo Abe visit the sights of Astana
Қазақстан Президенті мен Жапония Премьер-министрі келіссөздер қорытындысы бойынша бірлескен брифинг өткізді	Joint briefing following the talks with Japanese Prime Minister Shinzo Abe
Жапония Премьер-министрі С.Абэнің Қазақстанға ресми сапары аясында кеңейтілген құрамда өткен келіссөздер	Extended meeting within the official visit of Prime Minister of Japan Shinzo Abe to Kazakhstan
Елбасы Қазақстанға ресми сапармен келген Жапония Премьер-министрі Синдзо Абэмен кездесті	Meeting with Prime Minister of Japan Shinzo Abe, paying an official visit to Kazakhstan
Қазақстан Президенті Катар Әмірі шейх Тамим бен Хамад Әл Танимен кездесті	Meeting with Emir Sheikh of Qatar Tamim bin Hamad Al Thani
Елбасы Катардың жетекші корпорациялары мен қаржы институттары басшыларымен кездесті	Meeting with heads of leading corporations and financial institutes of Qatar
Қазақстан Президенті ресми сапармен Катар Мемлекетіне келді	Official visit to the State of Qatar
Мемлекет басшысының төрағалығымен Қауіпсіздік кеңесінің отырысы өтті	Security Council meeting chaired by the Head of State
Елбасы Жиронда департаментінде болған автокөлік апатына байланысты Франция Президенті Франсуа Олландқа көңіл айту жеделхатын жолдады	Telegram of condolences to President of France Francois Hollande
Елбасы Канаданың Либералдар партиясының парламенттік сайлауда жеңіске жетуіне байланысты Джастин Трюдоға құттықтау жеделхатын жолдады	Telegram of congratulations to Justin Trudeau on the victory of the Liberal Party in Canada’s parliamentary election
Елбасы Қызылорда облысына жұмыс сапарының қорытындысы жөнінде БАҚ өкілдері үшін брифинг өткізді	Press briefing following the working trip to Kyzylorda region
Елбасы «Көксу» қосалқы шаруашылығында болды	Visit to Kok-Su subsidiary farming
Мемлекет басшысы Нұрсұлтан Назарбаев Геннадий Головкинге оның бокстан WBA, IBO, IBF және WBC interim тұжырымдары бойынша әлем чемпионы атағы үшін өткен жекпе-жектегі жеңісіне орай құттықтау жеделхатын жолдады	Congratulation telegram to Gennady Golovkin on the occasion of his winning the WBA, IBO, IBF, WBC interim and WBA super middleweight titles
Елбасы Қызылорда облыстық әкімдігі жанындағы Ахуалдық орталық қызметімен танысты	President Nursultan Nazarbayev visited the Situation Centre under the akimat of Kyzylorda region
Мемлекет басшысы «Жан-Арай» ЖШС-ның агроиндустриялық кешенінде болды	Visit to agroindustrial complex of LLP Zhan Arai
Елбасы «Арай-2» шағын ауданындағы әлеуметтік тұрғын үйлер құрылысын көрді	President Nursultan Nazarbayev got acquainted with the pace of construction of public welfare housing in the district Arai-2
Мемлекет басшысының Қызылорда облысына жұмыс сапары	Working trip to Kyzyzlorda region
Елбасы Премьер-Министр Кәрім Мәсімовті қабылдады	Meeting with Prime Minister Karim Massimov
Мемлекет басшысы Қ.И.Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетінің ректоры Ескендір Бейсембетовті қабылдады	Meeting with Iskander Beisembetov, Rector, Kazakh National Research Technical University
Елбасы Жоғары Еуразиялық экономикалық кеңес отырысына қатысты	Participation in the Supreme Eurasian Economic Council session
Қазақстан Президенті ТМД мемлекеттері басшылары кеңесінің кеңейтілген құрамда өткен отырысына қатысты	Participation in the Council of Heads of CIS member-states in the expanded format
Елбасы ТМД Мемлекеттері басшылары кеңесінің шағын құрамда өткен отырысына қатысты	Participation in the meeting of the Heads of State Council of the Commonwealth of Independent States
Ресей Федерациясының Президенті Владимир Путиннің Қазақстанға мемлекеттік сапары аясында кеңейтілген құрамдағы келіссөздер өтті	Meeting with President of the Russian Federation Vladimir Putin
Елбасы Қазақстанға мемлекеттік сапармен келген Ресей Федерациясының Президенті Владимир Путинмен кездесті	Meeting with President of Russian Federation Vladimir Putin paying a state visit to Kazakhstan
Мемлекет басшысы ғарышкер Айдын Айымбетовті марапаттау рәсіміне қатысты	Participation in the awarding ceremony of Khalyk Kakharmany title to Aidyn Aimbetov
Мемлекет басшысының төрағалығымен Қауіпсіздік кеңесінің отырысы өтті	Security Council Session under the chairmanship of President Nursultan Nazarbayev
Елбасы Білім және ғылым министрі Аслан Сәрінжіповті қабылдады	Meeting with Minister of Education and Science Aslan Sarinzhipov
Елбасы Алматы қаласының әкімі Бауыржан Байбекті қабылдады	Meeting with Mayor of Almaty Bauyrzhan Baibek
Елбасы Қазақ хандығының 550 жылдығына арналып қойылған «Абай» операсына барды	Nursultan Nazarbayev attends Abai opera at the Astana Opera and Ballet Theater
Нұрсұлтан Назарбаев «Нұр Отан» партиясы Төрағасының бірінші орынбасары Мәулен Әшімбаевты қабылдады	Meeting with Maulen Ashimbaev, First Deputy, Nur Otan Party
Нұрсұлтан Назарбаев пен Петр Порошенко Астананың көрікті орындарын аралады	Nursultan Nazarbayev and Petro Poroshenko go sightseeing in Astana
Мемлекет басшысы «Көне Тараз» музейінде болды	Visit to Ancient Taraz Museum
Елбасы «Арайстроймаркет-2003» ЖШС-ның алюминий радиатор шығаратын зауытында болды	Visit to aluminium radiator producing plant LLP Araistrimarket-2003
Мемлекет басшысы Қазақ хандығының 550 жылдығына арналған монументті ашу рәсіміне қатысты	Participation in the opening ceremony of the monument "550th anniversary of the Kazakh Khanate"
Елбасы «Әулие ата» халықаралық әуежайының жолаушыларға арналған жаңа терминалында болды	Visit to the new passenger terminal of Auliye Ata international airport
Мемлекет басшысының Жамбыл облысына жұмыс сапары	Working trip to Zhambyl region
Мемлекет басшысының қатысуымен өтетін алдағы іс-шаралар аңдатпасы	Upcoming events
Америка Құрама Штаттарына сапар қорытындысына арналған жұмыс бабындағы кеңес	Meeting under the chairmanship of President Nursultan Nazarbayev following the visit to the United States
Елбасы «Астана ЭКСПО-2017» ұлттық компаниясы» АҚ басқармасының төрағасы Ахметжан Есімовті қабылдады	Meeting with Chairman of the Board of JSC National Company Astana EXPO-2017 Akhmetzhan Yessimov
Мемлекет басшысы БҰҰ Бас ассамблеясының 70-сессиясы аясында Люксембург Премьер-министрі Ксавье Беттельмен кездесті	Meeting with Prime Minister of Luxembourg Xavier Bettel on the sidelines of the UN Summit
Елбасы облыстардың және Астана, Алматы, Шымкент қалаларының әкімдерімен кеңес өткізді	Meeting with akims of regions and cities of Astana, Almaty and Shymkent
Елбасы БҰҰ Бас ассамблеясының 70-сессиясы аясында Польша Республикасының Президенті Анджей Дудамен кездесті	Meeting with President of Poland Andrzej Duda on the sidelines of the UN Summit
Мемлекет басшысы БҰҰ Бас ассамблеясының жалпы дебатына қатысты	Participation in the General Debate of the UN General Assembly
Елбасы БҰҰ Бас ассамблеясының 70-сессиясы аясында Біріккен Ұлттар Ұйымының Бас хатшысы Пан Ги Мунмен кездесті	Meeting with UN Secretary-General Ban Ki-moon on the sidelines of the UN Summit
Елбасы Халықаралық қаржы корпорациясының атқарушы вице-президенті Цзин-Юн Каймен кездесті	Meeting with Executive Vice President of the International Finance Corporation Jin-Yong Cai
Мемлекет басшысы Cisco Systems компаниясының директорлар кеңесінің төрағасы Джон Чемберспен кездесті	Meeting with Chairman of the American company “Cisco Systems” John Chambers
Елбасы «11 қыркүйек» ұлттық мемориалында болды	Visit to National September 11 Memorial
Мемлекет басшысы БҰҰ-ның 2015 жылдан кейінгі даму кезеңіне арналған күн тәртібін қабылдау жөніндегі саммитке қатысты	Participation in the UN Summit to Adopt the Post-2015 Development Agenda
Елбасы Қазақстанға жұмыс сапарымен келген Руанда Республикасының Президенті Поль Кагамемен кездесті	Meeting with President of the Republic of Rwanda Paul Kagame, who arrived in Kazakhstan on a working visit
Мемлекет басшысы Ақылмандар кеңесінің мүшелерімен кездесті	Meeting with members of the Council of Wise Men
Қазақстан Президенті Royal Dutch Shell plc компаниясының бас атқарушы директоры Бен ван Берденді қабылдады	President of Kazakhstan receives Ben van Beurden, CEO of Royal Dutch Shell
Мемлекет басшысының төрағалығымен Үкіметтің кеңейтілген отырысы өтті	The Head of State chairs the governmental meeting
Елбасы Израильдің бұрынғы президенті Шимон Переспен кездесті	Meeting with ex-President of Israel Shimon Peres
Мемлекет басшысы Ақтөбе, Атырау, Батыс Қазақстан және Маңғыстау облыстарының әкімдерімен кеңес өткізді	Meeting with western regions’ governors
Елбасы Батыс Қазақстан облысының әкімі Нұрлан Ноғаевпен кездесті	Meeting with the governor of West Kazakhstan region Nurlan Nogayev
Мемлекет басшысы Ақтөбе облысының әкімі Бердібек Сапарбаевпен кездесті	Meeting with the governor of Aktobe region Berdibek Saparbayev
Мемлекет басшысы Маңғыстау облысының әкімі Алик Айдарбаевпен кездесті	Meeting with the governor of Mangystau region Alik Aidarbayev
Елбасы Атырау облысының әкімі Бақтықожа Ізмұхамбетовпен кездесті	Meeting with the governor of Atyrau region Baktykozha Izmukhambetov
Мемлекет басшысының Атырау облысына жұмыс сапары	Working visit to Atyrau region
Мемлекет басшысы Қазақстан мен Ресейдің ХІІ өңіраралық ынтымақтастық форумы аясында Ресей Федерациясының Президенті Владимир Путинмен кездесті	Meeting with the President of the Russian Federation Vladimir Putin
Мемлекет басшысының Ресей Федерациясына сапары	Visit to the Russian Federation
Елбасы ҰҚШҰ Ұжымдық қауіпсіздік кеңесінің сессиясына қатысты	Participation in the Session of CSTO Collective Security Council
Мемлекет басшысы Түркістан облысының әкімі Жансейіт Түймебаевты қабылдады	Meeting with Zhanseit Tuimebayev, akim of Turkestan region
Мемлекет басшысы Тәжікстан Республикасы Жоғары жиналысының Өкілдер палатасы төрағасы Шукурджон Зухуровпен кездесті	Meeting with chairman of the House of Representatives of the Supreme Assembly of the Republic of Tajikistan Shukurjon Zuhurov
Елбасы мен Тәжікстан Президенті келіссөздер қорытындысы бойынша бірлескен брифинг өткізді	Joint briefing after the talks of the President of Kazakhstan and President of Tajikistan
Мемлекет басшысы Тәжікстан Республикасының Президенті Эмомали Рахмонмен кездесті	Meeting with President of Tajikistan Emomali Rakhmon
Қазақстан Президенті Ресей Федерациясы Үкіметінің төрағасы Дмитрий Медведевке 50 жасқа толған мерейтойына орай құттықтау жолдады	Congratulations to the Prime Minister of the Russian Federation Dmitriy Medvedev on the occasion of the 50th anniversary
Елбасының Тәжікстан Республикасына ресми сапары	Official visit to the Republic of Tajikistan
Мемлекет басшысы Сауд Арабиясының Королі Салман бен Әбдел Әзиз Әл Саудқа Мекке қаласының «Әл-Харам» мешітінде болған қайғылы оқиғаға байланысты көңіл айту жеделхатын жолдады	Telegram of condolences to the King of Saudi Arabia, Salman bin Abdul Aziz Al Saud in connection with the tragic incident in the mosque "Al Haram" in Mecca
Елбасы «Союз ТМА-16М» экипажының мүшелерімен – кеме командирі Геннадий Падалка, бортинженерлер Андреас Могенсен және Айдын Айымбетовпен кездесті	Meeting with the crew of the “Soyuz TMA-16M” commander Gennady Padalka and flight engineers Andreas Mogensen and Aydin Aimbetov
Мемлекет басшысы «Қазақ елі» монументі алдындағы этноауылда болды	Visit to the ethnic village in front of the monument "Kazak Eli"
Қазақстан Президенті Түркітілдес мемлекеттер ынтымақтастығы кеңесінің бесінші саммитіне қатысты	Participation in the Fifth Summit of the Cooperation Council of Turkic Speaking States
Мемлекет басшысы Түркітілдес мемлекеттер ынтымақтастығы кеңесінің бесінші саммиті аясында Әзербайжан Республикасының Президенті Ильхам Әлиевпен кездесті	Meeting with President of the Republic of Azerbaijan Ilham Aliyev within the framework of the Fifth Summit of the Cooperation Council of Turkic Speaking States
Нұрсұлтан Назарбаев Қостанай облысының әкімі Архимед Мұхамбетовті қабылдады	Meeting with Arkhimed Mukhambetov, akim of Kostanay region
Елбасы Қазақ хандығының 550 жылдығына арналған салтанатты жиынға қатысты	Participation in the solemn meeting devoted to the 550th anniversary of the Kazakh Khanate
Елбасы Түркітілдес мемлекеттер ынтымақтастық кеңесінің бас хатшысы Рамиль Гасановты қабылдады	Meeting with the secretary general of the Cooperation Council of Turkic-speaking countries Ramil Gasanov
Елбасы Түркі академиясының президенті Дархан Қыдырәліні қабылдады	Meeting with the head of Turkic Academy Darkhan Kydyrali
Мемлекет басшысы «Қазатомөнеркәсіп» ұлттық атом компаниясы» акционерлік қоғамы басқармасының төрағасы Асқар Жұмағалиевті қабылдады	Meeting with chairman of the Board of "Kazatomprom "JSC Askar Zhumagaliyev
Елбасы Шығыс Қазақстан облысының әкімі Даниал Ахметовті қабылдады	Meeting with governor of East Kazakhstan region Danial Akhmetov
Мемлекет басшысы Ақмола, Қостанай және Солтүстік Қазақстан облыстарының әкімдерімен кеңес өткізді	Meeting with participation of governors of Akmola, Kostanay and North Kazakhstan regions
Елбасы «Викторовское» ЖШС ауыл шаруашылығы кәсіпорнында болды	Visit to the agricultural enterprise LLP "Viktorovskiy"
Ақмола облысына жұмыс сапары	Working visit to Akmola region
Қазақстан Президенті қытай халқының жапон милитаристеріне қарсы соғыстағы жеңісінің 70 жылдығына арналған салтанатты парадқа қатысуда	Participation in the parade dedicated to the 70th anniversary of the victory of the Chinese people in the War of Resistance Against Japanese militarists
Елбасы Ресей Федерациясының Президенті Владимир Путинмен кездесті	Meeting with the President of the Russian Federation Vladimir Putin
Қазақстан Президенті Қарағанды облысының әкімі Ерлан Қошановты қабылдады	Meeting with Yerlan Koshanov, akim of Karaganda region
Мемлекет басшысы Қытай Коммунистік партиясы Орталық комитеті жанындағы Орталық партия мектебінде дәріс оқыды	Lecture at the Central Party School of the Central Committee of the Communist Party of China
Елбасы Бүкілқытайлық халық өкілдері жиналысы Тұрақты комитетінің төрағасы Чжан Дэцзянмен кездесті	Meeting with chairman of the Standing Committee of the National People's Congress Zhang Dejiang
Мемлекет басшысы Цзянсу провинциясы халық өкілдерінің Бүкілқытайлық жиналысы Тұрақты комитетінің төрағасы – партия комитетінің хатшысы Лоу Чжицзюнмен кездесті	Meeting with the Secretary of the Party Committee - Chairman of the Standing Committee of the National People's Congress of Jiangsu Province Luo Zhijun
Елбасы ҚХР Мемлекеттік кеңесінің премьері Ли Кэцянмен кездесті	Meeting with Premier of the State Council of China Li Keqiang
Қазақстанның БАҚ өкілдеріне арналған брифинг	Briefing for representatives of Kazakhstani mass media
Елбасы ҚХР-дың іскер және қаржылық топтар өкілдерімен кездесті	Meeting with representatives of business and financial circles of China
ҚХР төрағасы Си Цзиньпинмен кеңейтілген құрамда өткен кездесу	Meeting with President of China Xi Jinping in an expanded format
Елбасы CNPC корпорациясының директорлар кеңесінің төрағасы Ван Илиньмен кездесті	Meeting with chairman of the CNPC corporation Board of Directors Wang Yilin
Мемлекет басшысы «Цинхуа» корпорациясы басқармасының төрағасы Хо Цинхуамен кездесті	Meeting with the President of the Kingo corporation Huo Qinghua
Елбасы «СИТИК Групп» корпорациясының директорлар кеңесінің төрағасы Чан Чжэнминмен кездесті	Meeting with chairman of the CITIC Group Board of Directors Chang Zhenming
Елбасы Шығыс Қазақстан облысының әкімі Даниал Ахметовті қабылдады	Meeting with Daniyal Akhmetov, akim of East Kazakhstan
Қазақстан Президентінің Қытай Халық Республикасына мемлекеттік сапары	State Visit to China
Елбасы Түрік Республикасының Президенті Реджеп Тайып Ердоғанмен телефон арқылы сөйлесті	Telephone conversation with President of the Republic of Turkey Recep Tayyip Erdogan
Елбасы ғарышкер-сынақшы Айдын Айымбетовпен телефон арқылы сөйлесті	Telephone conversation with the test-cosmonaut Aydin Aimbetov
Елбасы Сербия Республикасының Президенті Томислав Николичпен бірге Қазақстан Республикасы Конституциясының 20 жылдығына арналған концертті тамашалады	Attending a concert dedicated to the 20th anniversary of the Constitution of the Republic of Kazakhstan, together with the President of the Republic of Serbia Tomislav Nikolic
Қазақстан мен Сербия президенттері келіссөздер қорытындысы бойынша бірлескен брифинг өткізді	Joint briefing after the talks of the President of Kazakhstan and the President of Serbia
Мемлекет басшысы Астанаға ресми сапармен келген Сербия Республикасының Президенті Томислав Николичпен кездесті	Meeting with President of the Republic of Serbia Tomislav Nikolic, who arrived in Astana on an official visit
Елбасы Қазақстан Республикасы Конституциясының 20 жылдығына арналған «Конституция: бірлік, тұрақтылық, өркендеу» атты халықаралық ғылыми-тәжірибелік конференцияға қатысты	Participation in the international scientific and practical conference "Constitution: unity, stability and prosperity", dedicated to the 20th anniversary of the Constitution of the Republic of Kazakhstan
Мемлекет басшысы «Ұлттық ғылыми кардиохирургия орталығы» АҚ басқармасының төрағасы Юрий Пяны қабылдады	Meeting with chairman of the Board of JSC "National Scientific Cardiac Surgery Center" Yuri Pya
Елбасы АҚШ-тың бұрынғы сенаторы Сэм Наннды қабылдады	Meeting with former US Senator Sam Nunn
Мемлекет басшысы МАГАТЭ-ның бас директоры Юкия Аманоны қабылдады	Meeting with the Director General of the IAEA Yukiya Amano
Нұрсұлтан Назарбаев Бразилия Федеративтік Республикасының Президенті Жаир Мессиас Болсонаруға көңіл айту жеделхатын жолдады	Telegram of condolences to President of Brazil Jair Messias Bolsonaro
Елбасы «Астана» футбол клубының УЕФА чемпиондар лигасы топтық кезеңіне өтуіне байланысты құттықтау жолдады	Congratulations to the football club "Astana" on advancing to the group stage of the UEFA Champions League
Қазақстан Президенті мен Пәкістан Премьер-министрі келіссөздердің қорытындысы бойынша бірлескен баспасөз брифингін өткізді	Joint briefing after the talks of the President of Kazakhstan and Prime Minister of Pakistan
Елбасы Қазақстанға ресми сапармен келген Пәкістан Ислам Республикасының Премьер-министрі Наваз Шарифпен кездесті	Meeting with Prime Minister of Pakistan Nawaz Sharif, who arrived in Kazakhstan on an official visit
Жаңғырту жөніндегі ұлттық комиссияның отырысы өтті	Sitting of the National Commission for Modernization
Елбасы экономикалық саясаттың алдағы шаралары жөнінде кеңес өткізді	Meeting on further economic policy measures
Елбасы Жоғарғы Сот төрағасы Қайрат Мәмиді қабылдады	Meeting with chairman of the Supreme Court Kairat Mami
Мемлекет басшысы «Астана ЭКСПО-2017» ұлттық компаниясы» АҚ басқармасының төрағасы Ахметжан Есімовті қабылдады	Meeting with chairman of Astana EXPO-2017 Akhmetzhan Yessimov
Елбасы Қытай Халық Республикасының Төрағасы Си Цзиньпинге Тяньцзинь қаласындағы химия зауытында болған жарылысқа байланысты көңіл айту жеделхатын жолдады	Telegram of condolences to President of the People’s Republic of China Xi Jinping on the occasion of massive explosion in the city of Tianjin
Мемлекет басшысы мемлекеттік шекараның Қазақстан-Қырғызстан учаскесінде кедендік бақылаудың доғарылу рәсіміне қатысты	Participation in the ceremony of cancellation of customs control on the Kazakh-Kyrgyz state border
Қазақстан Президенті Нұрсұлтан Назарбаевтың Ораза айт мерекесімен құттықтауы	Congratulatory address by President Nursultan Nazarbayev on Eid Al-Fitr to the people of Kazakhstan
Мемлекет басшысы «Equus: Жылқы тарихы» атты деректі фильмнің көрсетілімін тамашалады	Visiting the screening of Equus: History of Horse documentary
Алматы облысы Талдықорған қаласының тұрғыны Инна Лапшинаның хаты	Letter from Inna Lapshina, resident of Taldykorgan city of Almaty oblast
Мемлекет басшысы Нұрсұлтан Назарбаев қысқа мерзімді демалыста	President Nursultan Nazarbayev is on a short leave
Мемлекет басшысының туған күніне және Астана күніне байланысты келіп түскен құттықтаулар авторларына арнаған сөзі	Address by Nursultan Nazarbayev to the authors of congratulatory letters sent on the occasion of the President’s anniversary and the Day of Astana
Мемлекет басшысы «Нұрлы жол» және индустриялық-инновациялық даму мемлекеттік бағдарламаларын жүзеге асыруға арналған Индустрияландыру күніне қатысты	Participation in the Industrialisation Day
Елбасы Ұлттық қауіпсіздік комитетінің төрағасы Нұртай Әбіқаевты қабылдады	Meeting with Chairman of the National Security Committee of Kazakhstan Nurtai Abykayev
Қазақстан Республикасының Мемлекеттік хатшысы Г.Әбдіқалықова Америка Құрама Штаттарының Қазақстандағы жаңадан тағайындалған Төтенше және өкілетті елшісі Джордж Альберт Кролмен кездесті	Meeting of Secretary of State of Kazakhstan Gulshara Abdykalikova with the United States Ambassador to the Republic of Kazakhstan George Albert Krol
Дүниежүзілік сауда ұйымына кіру жөніндегі келіссөздердің аяқталуына байланысты Мемлекет басшысының Қазақстан халқына үндеуі	Address by President Nursultan Nazarbayev to the people of Kazakhstan regarding the completion of talks on the country’s accession to the World Trade Organisation
Елбасы Украина Президенті Петр Порошенкомен телефон арқылы сөйлесті	Telephone conversation with President of Ukraine Petro Poroshenko
Мемлекет басшысы Түркияның тоғызыншы Президенті Сүлеймен Демирелдің қайтыс болуына байланысты Түркия Республикасының Президенті Режеп Тайып Ердоғанға көңіл айту жеделхатын жолдады	Condolences to President of the Republic of Turkey Recep Tayyip Erdogan over the death of the 9th President of Turkey Suleyman Demirel
Елбасы Катар Мемлекетінің сыртқы істер министрі Халед әл-Атыяны қабылдады	Meeting with Minister of Foreign Affairs of Qatar Khalid bin Mohammad Al Attiyah
Елбасы Халықаралық сауда орталықтары қауымдастығының басқарма мүшесі (WTCA) Рольф Драакпен және «Nest Investments HOLDINGS» компаниясының корпоративтік инвестициялар жөніндегі директоры Мехран Эфтехармен кездесті	Meeting with Rolf Draak, WTCA Deputy CEO and Mehran Eftekhar, Group Finance Director of Nest Investments Holdings
Мемлекеттік хатшы Г.Әбдіқалықова Сингапур ұлттық университетінің Ли Куан Ю атындағы Мемлекеттік саясат мектебінің деканы Кишор Махбубани бастаған ғалымдар тобымен кездесті	Meeting of Secretary of State of Kazakhstan Gulshara Abdykalikova with a Team of Singapore Scientists Led by Dean and Professor of Lee Kuan Yew School of Public Policy at the National University of Singapore Kishore Mahbubani
Мемлекет басшысы «Арселор Миттал» компаниясының төрағасы және бас атқарушы директоры Лакшми Митталды қабылдады	Meeting with Chairman and Chief Executive Officer of “ArcelorMittal” Lakshmi Mittal
Елбасы Назарбаев Университетінің алғашқы түлектеріне диплом беру рәсіміне қатысты	Participation in the First Graduation Ceremony at Nazarbayev University
Мемлекет басшысының төрағалығымен Қауіпсіздік кеңесінің отырысы өтті	Security Council Meeting Under the Chairmanship of President Nursultan Nazarbayev
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықова республикалық ғылыми-тәжірибелік конференция жұмысына қатысты	Participation of Secretary of State of Kazakhstan Gulshara Abdykalikova in the National Scientific-Practical Conference
Елбасы Қазақстан Республикасының еңбек сіңірген қайраткері, суретші Кәміл Муллашевті қабылдады	Meeting with Painter and Honoured Artist of the Republic of Kazakhstan Kamil Mullashev
Мемлекет басшысының Өкімдерімен:	By the Order of the President of Kazakhstan:
Мемлекет басшысының қатысуымен өтетін алдағы іс-шаралар аңдатпасы	Upcoming Events
Мемлекет басшысы Әлемдік және дәстүрлі діндер лидерлерінің V съезінің жалпы отырысына қатысты	Participation in the Plenary Session of the 5th Congress of Leaders of World and Traditional Religions
Елбасы Әлемдік және дәстүрлі діндер лидерлерінің V съезіне қатысуға келген Иордания Королі II Абдалламен кездесті	Meeting with King Abdullah II of Jordan
Нұрсұлтан Назарбаев Зимбабве Республикасының Президенті Эммерсон Мнангагвамен кездесті	Meeting with President of Zimbabwe Emmerson Mnangagwa
Елбасы Әлемдік және дәстүрлі діндер лидерлерінің V сьезіне қатысуға келген Біріккен ұлттар ұйымының Бас хатшысы Пан Ги Мунмен кездесті	Meeting with the United Nations Secretary General Ban Ki-moon
Елбасы VIII Астана экономикалық форумына қатысуға келген Люксембург Премьер-министрі Ксавье Беттельді қабылдады	Meeting with Prime Minister of Luxembourg Xavier Bettel
Мемлекет басшысы VIII Астана экономикалық форумына қатысуға келген Литва Премьер-министрі Альгирдас Буткявичюспен кездесті	Meeting with Prime Minister of Lithuania Algirdas Butkevicius
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықова Халықаралық еңбек ұйымының Шығыс Еуропа және Орталық Азия елдеріне арналған Өңірлік бюросының директоры Хайнц Коллермен кездесті	Meeting of Secretary of State of Kazakhstan Gulshara Abdykalikova with Regional Director of International Labour Organisation for Eastern Europe and Central Asia Heinz Koller
Мемлекеттік хатшы, Қазақстан Республикасы Президентінің жанындағы Әйелдер істері және отбасылық-демографиялық саясат жөніндегі ұлттық комиссияның төрайымы Гүлшара Әбдіқалықова және «Астана ЭКСПО-2017» Ұлттық компаниясы» басқармасының төрағасы Талғат Ермегияев ынтымақтастық туралы Меморандумға қол қойды	Signing of Memorandum of Cooperation by Secretary of State, Chair of the National Commission on Women’s Affairs and Family and Demographic Policy under the President of Kazakhstan Gulshara Abdykalikova and Astana EXPO-2017 National Company Board Chairman Talgat Yermegiyayev
Елбасы «Қазақстан темір жолы» АҚ президенті Асқар Маминді қабылдады	Meeting with President of “Kazakhstan Temir Zholy” JSC Askar Mamin
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықова бірқатар елшілерден сенім грамоталарын қабылдады	Ceremony of the presentation of credentials to Secretary of State of Kazakhstan Gulshara Abdykalikova
